#Input :: AcmlNB_index_1000conn_2iot_4/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
100	9.992	100.1	100.1	100.080064051241	1.4	0.9	2.3	11.8	0.7	128.0	0
200	4.997	200.1	200.1	200.120072043226	1.1	0.6	1.8	20.6	1.0	256.0	0
300	3.332	300.1	300.1	300.120048019208	1.1	0.6	1.7	25.5	1.3	383.9	0
400	2.500	400.0	400.0	400	1.3	0.5	1.8	27.0	1.9	511.8	0
500	2.000	499.9	499.9	500	1.8	0.6	2.4	42.1	4.1	639.5	0
600	1.670	598.7	598.7	598.802395209581	2.6	0.8	3.4	49.4	6.7	766.0	0
700	1.430	699.5	699.5	699.300699300699	1.6	0.6	2.3	29.9	3.5	895.3	0
800	1.251	799.4	799.4	799.360511590727	3.6	0.9	4.5	48.6	8.9	1023.4	0
900	1.135	880.8	880.8	881.057268722467	5.5	0.9	6.4	62.2	13.0	1127.4	0
1000	1.002	997.9	997.9	998.003992015968	5.2	1.4	6.7	46.4	10.4	1277.5	0
1100	0.957	1045.4	1045.4	1044.93207941484	12.4	1.6	14.0	81.1	24.6	1338.9	0
1200	0.861	1162.0	1162.0	1161.44018583043	26.3	16.5	42.9	72.4	24.8	1489.4	0
