#Input :: AcmlNB_index_500conn_3iot_4/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
200	2.501	199.9	199.9	199.920031987205	2.7	1.4	4.1	23.0	2.3	255.8	0
400	1.249	400.2	400.2	400.320256204964	2.1	1.3	3.4	18.0	2.0	512.0	0
600	0.836	598.4	598.4	598.086124401914	2.4	1.2	3.6	28.3	3.3	765.6	0
800	0.629	795.3	795.3	794.912559618442	2.7	1.3	4.0	18.2	2.3	1017.5	0
1000	0.503	994.5	994.5	994.03578528827	2.4	1.4	3.9	8.6	1.5	1272.3	0
1200	0.463	1078.8	1078.8	1079.91360691145	7.0	25.8	32.9	81.1	21.8	1380.1	0
1400	0.486	1029.8	1029.8	1028.80658436214	14.8	61.2	76.1	135.3	45.1	1317.5	0
1600	0.581	860.0	860.0	860.585197934596	70.5	86.6	157.2	307.8	103.0	1100.3	0
1800	0.892	560.5	560.5	560.538116591928	179.6	179.2	358.9	656.8	271.5	717.1	0
2000	0.483	1035.9	1035.9	1035.1966873706	61.4	58.2	119.8	235.1	73.8	1325.7	0
