#Input :: Arbitrator_index_1000conn_3iot_6/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
100	9.994	100.1	100.1	100.060036021613	3.0	1.4	4.4	46.4	2.8	128.0	0
200	5.000	200.0	200.0	200	2.1	0.8	2.9	33.3	2.6	255.9	0
300	3.333	300.1	300.1	300.0300030003	1.5	0.7	2.2	25.4	1.6	383.9	0
400	2.500	400.0	400.0	400	2.4	0.7	3.1	63.4	6.7	511.7	0
500	2.000	499.9	499.9	500	3.7	1.0	4.7	92.6	13.0	639.6	0
600	1.668	599.7	599.7	599.520383693045	1.6	0.8	2.5	25.6	2.5	766.5	2
700	1.429	699.6	699.6	699.790062981106	1.4	0.7	2.1	14.9	1.1	895.5	0
800	1.252	799.0	799.0	798.722044728435	9.6	2.3	11.9	105.4	25.1	1022.5	0
900	1.113	898.8	898.8	898.472596585804	1.3	0.6	2.0	6.1	0.5	1150.4	0
1000	1.005	995.0	995.0	995.024875621891	1.9	0.9	2.9	28.9	4.1	1273.7	0
1100	0.911	1097.9	1097.9	1097.69484083425	21.7	6.3	28.0	119.6	39.0	1405.1	0
1200	0.942	1061.3	1061.3	1061.57112526539	11.1	1.3	12.5	145.6	33.4	1358.3	0
1300	0.772	1296.1	1296.1	1295.33678756477	2.0	0.9	3.0	16.3	1.6	1658.4	0
1400	36.988	27.0	27.0	27.0357953931005	53.6	6.6	60.3	150.2	59.5	19.7	0
1500	3.663	273.0	36.0	273.000273000273	0.0	0.0	0.0	0.0	0.0	2.3	1000
