#Input :: Mongrel_index_1000conn_iot_4/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
100	9.992	100.1	100.1	100.080064051241	4.2	0.0	4.2	51.3	9.2	61.8	0
200	4.997	200.1	200.1	200.120072043226	8.2	0.0	8.2	53.8	13.7	123.5	0
300	3.374	296.4	296.4	296.3841138115	15.8	0.0	15.8	64.2	17.1	183.0	0
400	2.588	386.4	386.4	386.398763523957	61.6	0.0	61.6	105.4	23.3	238.5	0
500	4.952	201.9	201.9	201.938610662359	203.0	0.0	464.2	3057.1	797.9	124.6	0
600	4.660	214.6	214.6	214.592274678112	212.5	0.0	899.7	3063.7	1163.2	132.5	0
700	4.454	224.5	224.5	224.517287831163	193.5	0.0	1162.1	3067.7	1291.7	138.6	0
800	4.388	227.9	227.9	227.894257064722	201.2	0.0	1416.5	3143.2	1373.8	140.7	0
900	4.350	229.9	229.9	229.885057471264	217.5	0.0	1505.5	3273.0	1419.3	141.9	0
1000.0	9.954	100.5	100.5	100.462125778581	232.1	0.0	1739.2	9003.6	1615.3	62.0	0
1100	9.906	100.9	100.9	100.948919846558	613.4	0.0	2477.9	9102.5	2684.7	62.3	0
1200.0	9.770	102.4	102.4	102.354145342886	596.6	0.0	2294.6	9065.2	2291.3	63.2	0
1300	9.798	102.1	102.1	102.061645233721	814.5	0.0	2492.2	9055.4	2572.5	63.0	0
1400.0	9.683	103.3	103.3	103.273778787566	1669.2	0.0	3378.6	9053.6	3259.5	63.7	0
1500	9.675	103.4	103.4	103.359173126615	766.4	0.0	2567.3	9063.7	2470.2	63.8	0
1600.0	9.520	105.0	105.0	105.042016806723	928.5	0.0	2757.7	9057.8	2316.6	64.8	0
1700	13.587	73.6	73.6	73.5997644807537	1444.8	0.0	3297.1	9192.0	3253.7	39.0	158
1800.0	10.288	97.2	97.2	97.2006220839813	2791.8	0.0	5359.2	9831.0	3794.0	59.7	5
1900	9.492	105.3	105.3	105.35187526338	1594.0	0.0	3550.2	9097.1	2770.1	65.0	0
2000.0	11.388	87.8	87.8	87.8117316473481	1935.9	0.0	3446.2	11129.0	2672.3	54.2	0
