#Input :: NB_851K_400conn_2iot_2/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
10.0	39.930	10.0	10.0	10.0175306786877	2.7	26.7	29.4	35.4	1.3	8523.6	0
20.0	19.975	20.0	20.0	20.0250312891114	2.5	26.3	28.9	39.7	2.4	17038.7	0
30.0	13.325	30.0	30.0	30.0187617260788	3.1	27.8	30.9	78.9	7.6	25542.7	0
40.0	10.013	39.9	39.9	39.9480675122341	4.2	30.3	34.5	82.9	10.2	33991.6	0
50.0	8.013	49.9	49.9	49.9188818170473	6.0	40.3	46.4	99.7	14.7	42472.0	0
60.0	6.734	59.4	59.4	59.4000594000594	6.5	44.6	51.2	133.6	19.4	50544.6	0
70.0	5.815	68.8	68.8	68.7876182287188	10.9	64.2	75.1	244.9	39.8	58526.4	0
80.0	5.218	76.7	76.7	76.6547723265619	29.5	116.5	146.1	460.2	79.4	65231.4	0
90.0	4.937	81.0	81.0	81.0208628721896	97.5	183.7	281.3	623.4	144.2	68933.3	0
100.0	4.880	82.0	82.0	81.9672131147541	264.0	267.5	531.7	1067.8	297.3	69739.1	0
120.0	4.949	80.8	80.8	80.8244089715094	631.6	280.7	912.4	1758.4	508.6	68768.5	0
140.0	4.911	81.4	81.4	81.4498065567094	908.3	253.4	1161.8	2113.6	628.4	69299.7	0
160.0	4.738	84.4	84.4	84.4238075137189	1066.0	220.7	1286.7	2312.2	641.6	71840.1	0
180.0	5.215	76.7	76.7	76.7018216682646	1370.0	257.8	1627.9	3102.3	893.2	65261.4	0
200.0	4.835	82.7	82.7	82.7300930713547	1324.0	287.8	1611.9	2902.3	798.4	70394.7	0
