#Input :: NB_index_1000conn_2iot_4/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
1000	2.351	425.3	425.3	425.350914504466	517.5	298.1	815.7	1369.0	464.7	544.1	0
1000	1.477	677.1	677.1	677.048070412999	308.5	3.6	312.2	488.6	146.1	866.3	0
1000	1.489	671.7	671.7	671.591672263264	321.6	3.9	325.5	508.9	160.0	859.4	0
1000	1.551	644.9	644.9	644.745325596389	373.8	18.0	391.8	619.9	181.4	825.1	0
1000	1.516	659.8	659.8	659.630606860158	340.2	5.5	345.8	540.9	175.1	844.1	0
1200	1.569	637.3	637.3	637.348629700446	455.1	6.5	461.7	757.6	212.2	815.6	0
1200	1.446	691.8	691.8	691.562932226833	386.1	39.0	425.2	686.8	188.7	885.1	0
1200	1.518	658.8	658.8	658.761528326746	446.6	6.5	453.1	708.1	217.9	843.0	0
1200	3.547	282.0	70.8	281.928390188892	29.2	2.4	31.2	63.1	15.9	22.3	948
1200	0.833	1199.9	0.0	1200.48019207683	0.0	0.0	0.0	0.0	0.0	0.0	1000
