#Input :: NB_primes_1000conn_2iot_4/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
100	9.992	100.1	100.1	100.080064051241	1.5	0.7	2.2	16.0	0.7	18.4	0
200	4.997	200.1	200.1	200.120072043226	1.2	0.6	1.8	24.8	1.1	36.7	0
300	3.332	300.1	300.1	300.120048019208	1.2	0.6	1.8	31.2	2.0	55.1	0
400	2.500	400.0	400.0	400	1.1	0.6	1.7	15.9	0.9	73.4	0
500	2.000	500.0	500.0	500	1.3	0.6	1.9	26.7	2.1	91.8	0
600	1.667	599.7	599.7	599.880023995201	1.1	0.7	1.7	4.0	0.3	110.5	0
700	1.430	699.5	699.5	699.300699300699	2.2	0.8	3.0	34.8	4.3	129.4	0
800	1.251	799.2	799.2	799.360511590727	1.5	0.8	2.3	8.6	0.7	147.5	0
900	1.114	898.0	898.0	897.666068222621	3.6	0.8	4.4	44.2	7.6	165.9	0
1000	1.001	998.9	998.9	999.000999000999	2.9	0.9	3.8	29.4	4.6	186.0	0
1100	0.912	1096.6	1096.6	1096.49122807018	2.4	0.9	3.4	10.9	1.2	203.4	0
1200	0.837	1194.8	1194.8	1194.743130227	14.5	1.1	15.6	54.0	17.2	222.9	0
