#Input :: Ocsigen_index_1000conn_iot_1/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
100.0	9.991	100.1	0.0	100.090081072966	0.0	0.0	0.0	0.0	0.0	0.0	1000
120.0	8.325	120.1	0.0	120.12012012012	0.0	0.0	0.0	0.0	0.0	0.0	1000
140.0	7.136	140.1	0.0	140.134529147982	0.0	0.0	0.0	0.0	0.0	0.0	1000
160.0	6.244	160.1	0.0	160.153747597694	0.0	0.0	0.0	0.0	0.0	0.0	1000
180.0	5.550	180.2	0.0	180.18018018018	0.0	0.0	0.0	0.0	0.0	0.0	1000
200.0	4.995	200.2	0.0	200.2002002002	0.0	0.0	0.0	0.0	0.0	0.0	1000
250.0	3.997	250.2	0.0	250.187640730548	0.0	0.0	0.0	0.0	0.0	0.0	1000
300.0	3.331	300.2	0.0	300.210147102972	0.0	0.0	0.0	0.0	0.0	0.0	1000
350.0	2.854	350.3	0.0	350.385423966363	0.0	0.0	0.0	0.0	0.0	0.0	1000
400.0	2.498	400.4	0.0	400.320256204964	0.0	0.0	0.0	0.0	0.0	0.0	1000
500.0	1.999	500.3	0.0	500.250125062531	0.0	0.0	0.0	0.0	0.0	0.0	1000
600.0	1.666	600.3	0.0	600.240096038415	0.0	0.0	0.0	0.0	0.0	0.0	1000
700.0	1.428	700.4	0.0	700.280112044818	0.0	0.0	0.0	0.0	0.0	0.0	1000
800.0	1.250	800.2	0.0	800	0.0	0.0	0.0	0.0	0.0	0.0	1000
900.0	1.111	900.4	0.0	900.0900090009	0.0	0.0	0.0	0.0	0.0	0.0	1000
1000.0	1.000	1000.3	0.0	1000	0.0	0.0	0.0	0.0	0.0	0.0	1000
