#Input :: PCML_index_1000conn_2iot_4/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
100	10.012	99.9	99.9	99.8801438274071	10.6	4.3	14.9	37.0	3.4	127.8	0
200	5.015	199.4	199.4	199.401794616152	41.5	3.6	45.1	203.4	43.0	255.1	0
300	4.595	217.6	217.6	217.627856365615	1647.2	11.3	1658.5	2393.6	531.9	280.1	1
700	2.704	369.8	369.8	369.822485207101	1062.8	12.9	1075.8	1301.8	311.2	476.4	1
1000	2.390	418.3	418.3	418.410041841004	959.6	11.6	971.3	1399.8	355.7	536.9	5
1100	10.910	91.7	91.7	91.6590284142988	959.4	12.7	972.2	1399.1	363.5	113.6	41
1200	10.834	92.3	92.3	92.3020121838656	0.0	0.0	0.0	0.0	0.0	5.8	1000
1300	10.771	92.8	92.8	92.8418902608857	0.0	0.0	0.0	0.0	0.0	5.8	1000
1400	10.715	93.3	93.3	93.3271115258983	0.0	0.0	0.0	0.0	0.0	5.8	1000
1500	10.668	93.7	93.7	93.7382827146607	0.0	0.0	0.0	0.0	0.0	5.9	1000
