#Input :: SingleCore_primes_10conn_2iot_2/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
10	0.939	10.7	10.7	10.6496272630458	42.1	0.0	42.2	45.1	1.9	2.2	0
20	0.490	20.4	20.4	20.4081632653061	33.3	0.0	33.4	39.2	6.3	4.2	0
40	0.309	32.4	32.4	32.3624595469256	177.7	2.7	180.4	264.9	60.4	6.6	0
80	0.205	48.9	48.9	48.780487804878	126.7	1.7	128.5	162.7	22.2	10.0	0
100	0.140	71.5	71.5	71.4285714285714	89.4	0.0	89.5	120.4	25.0	14.7	0
200	0.046	218.5	0.0	217.391304347826	0.0	0.0	0.0	0.0	0.0	0.0	10
300	0.031	325.4	0.0	322.58064516129	0.0	0.0	0.0	0.0	0.0	0.0	10
400	0.023	439.7	0.0	434.782608695652	0.0	0.0	0.0	0.0	0.0	0.0	10
500	0.019	535.2	0.0	526.315789473684	0.0	0.0	0.0	0.0	0.0	0.0	10
600	0.016	636.3	0.0	625	0.0	0.0	0.0	0.0	0.0	0.0	10
700	0.014	724.4	0.0	714.285714285714	0.0	0.0	0.0	0.0	0.0	0.0	10
800	0.012	851.3	0.0	833.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	10
900.0	0.011	936.9	0.0	909.090909090909	0.0	0.0	0.0	0.0	0.0	0.0	10
1000.0	0.010	1019.5	0.0	1000	0.0	0.0	0.0	0.0	0.0	0.0	10
1200.0	0.009	1171.2	0.0	1111.11111111111	0.0	0.0	0.0	0.0	0.0	0.0	10
