#Input :: nb6_1io_1K/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
10.0	99.903	10.0	10.0	10.0097094181356	1.8	1.0	2.8	7.3	0.8	12.7	0
20.0	49.953	20.0	20.0	20.0188176886273	1.6	1.0	2.6	9.1	0.9	25.4	0
30.0	33.303	30.0	30.0	30.0273248656277	1.7	1.0	2.7	9.4	1.2	38.1	0
40.0	24.978	40.0	40.0	40.0352310032829	1.7	1.1	2.8	11.1	1.3	50.8	0
50.0	19.983	50.0	50.0	50.0425361557324	2.0	1.1	3.1	30.1	2.8	63.5	0
60.0	16.662	60.0	60.0	60.0168047053175	2.7	1.1	3.8	63.2	5.2	76.2	0
70.0	14.274	70.1	70.1	70.0574471066274	2.8	1.1	3.9	44.2	5.3	88.9	0
80.0	12.490	80.1	80.1	80.0640512409928	3.1	1.1	4.3	57.1	6.6	101.6	0
90.0	11.103	90.1	90.1	90.0657479960371	4.0	1.3	5.3	64.6	8.2	114.3	0
100.0	9.993	100.1	100.1	100.070049034324	4.2	1.2	5.4	64.8	9.0	127.0	0
120.0	8.406	119.0	119.0	118.962645729241	5.2	1.4	6.5	80.9	11.0	151.0	0
140.0	7.139	140.1	140.1	140.075640846057	5.6	1.5	7.1	83.3	11.8	177.8	0
160.0	6.277	159.3	159.3	159.311773140035	6.5	1.4	7.8	81.3	12.8	202.2	0
180.0	5.629	177.6	177.6	177.6514478593	8.2	1.4	9.6	127.9	17.5	225.5	0
200.0	4.998	200.1	200.1	200.080032012805	7.9	1.7	9.6	119.1	17.0	254.0	0
