#Input :: van6/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
10.0	99.922	10.0	10.0	10.0078060887492	7.2	11.9	19.1	47.7	6.2	12.7	0
20.0	49.967	20.0	20.0	20.0132087177537	7.3	11.9	19.2	52.0	6.6	25.4	0
30.0	33.326	30.0	30.0	30.0066014523195	6.5	11.8	18.3	44.4	6.6	38.1	0
40.0	24.990	40.0	40.0	40.016006402561	4.9	13.6	18.5	50.5	7.0	50.8	0
50.0	29.784	33.6	33.6	33.5750738651625	9.4	4300.7	4310.0	9833.5	2778.9	42.7	0
60.0	16.684	59.9	59.9	59.9376648285783	4.3	16.7	21.0	71.2	10.0	76.1	0
70.0	30.355	32.9	32.9	32.9435018942514	307.4	6181.2	6488.7	19095.4	4945.4	41.9	0
80.0	14.677	68.1	68.1	68.1338148122913	6.0	1031.1	1037.1	2188.9	591.3	86.5	0
90.0	14.031	71.3	71.3	71.2707576081534	5.4	1276.3	1281.8	2930.6	762.2	90.6	0
100.0	14.893	67.1	67.1	67.145638890754	27.2	1834.8	1861.9	5014.0	1258.2	85.4	0
120.0	13.793	72.5	72.5	72.5005437540782	24.8	1925.2	1950.1	5601.6	1446.0	92.2	0
140.0	14.629	68.4	68.4	68.3573723426071	32.7	2246.4	2279.1	7914.3	1864.5	87.0	0
160.0	15.033	66.5	66.5	66.5203219583583	80.8	2629.0	2709.8	9655.3	2449.4	84.6	0
180.0	30.525	32.8	32.8	32.7600327600328	762.3	7240.7	8561.3	28595.7	8845.8	41.7	0
200.0	14.264	70.1	70.1	70.1065619742008	169.2	2906.1	3075.3	10161.3	2928.2	89.3	0
