#Input :: NB_851K_400conn_1iot_1/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
10.0	39.923	10.0	10.0	10.0192871277209	3.7	21.0	24.7	33.8	1.3	8524.9	0
20.0	19.973	20.0	20.0	20.027036499274	3.8	21.3	25.2	34.3	2.3	17040.0	0
30.0	13.324	30.0	30.0	30.0210147102972	3.8	21.5	25.3	43.0	3.6	25544.4	0
40.0	9.999	40.0	40.0	40.00400040004	6.1	26.0	32.1	103.7	12.0	34037.8	0
50.0	8.013	49.9	49.9	49.9188818170473	10.3	40.1	50.5	133.8	24.2	42475.5	0
60.0	7.420	53.9	53.9	53.9083557951482	51.3	485.8	537.2	884.4	236.3	45865.9	0
70.0	7.242	55.2	55.2	55.2333609500138	90.2	839.3	929.6	1634.5	538.6	46995.6	0
80.0	7.195	55.6	55.6	55.5941626129256	411.8	955.3	1367.2	2279.2	739.4	47302.9	0
90.0	7.102	56.3	56.3	56.3221627710504	654.8	956.7	1611.5	2732.5	875.2	47925.8	0
100.0	6.844	58.4	58.4	58.4453535943892	717.7	951.8	1669.5	2890.3	915.6	49726.5	0
120.0	6.793	58.9	58.9	58.8841454438392	1172.1	884.7	2056.9	3482.3	1071.5	50101.0	0
140.0	6.810	58.7	58.7	58.7371512481645	1446.8	896.8	2343.7	3972.8	1171.8	49976.6	0
160.0	6.961	57.5	57.5	57.4630081884787	1691.3	905.2	2596.5	4474.7	1323.6	48891.3	0
180.0	6.834	58.5	58.5	58.5308750365818	1748.4	907.4	2655.8	4621.6	1358.4	49801.8	0
200.0	7.155	55.9	55.9	55.9049615653389	2089.6	944.7	3034.3	5164.9	1489.7	47565.4	0
