#Input :: AcmlNB_index_1000conn_3iot_4/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
100	9.993	100.1	100.1	100.070049034324	1.8	0.8	2.6	19.8	0.8	128.0	0
200	4.997	200.1	200.1	200.120072043226	1.4	0.6	2.0	15.9	0.7	256.0	0
300	3.332	300.1	300.1	300.120048019208	1.2	0.6	1.8	21.2	1.2	384.0	0
400	2.500	400.1	400.1	400	1.2	0.6	1.7	18.8	1.2	511.8	0
500	2.000	500.0	500.0	500	1.2	0.5	1.7	17.7	1.1	639.6	0
600	1.667	599.9	599.9	599.880023995201	1.3	0.6	1.9	20.2	1.6	767.5	0
700	1.485	673.5	673.5	673.400673400673	1.2	0.7	1.9	57.1	2.5	861.9	0
800	1.297	770.9	770.9	771.010023130301	2.2	0.7	2.9	61.3	7.0	986.4	0
900	1.156	865.1	865.1	865.051903114187	2.9	0.8	3.7	64.2	9.1	1106.8	0
1000	1.067	937.3	937.3	937.207122774133	2.7	0.8	3.6	73.3	8.1	1199.2	0
1100	0.976	1024.3	1024.3	1024.59016393443	2.2	0.9	3.2	69.3	5.5	1310.5	0
1200	0.836	1196.5	1196.5	1196.17224880383	2.0	1.0	3.1	5.3	0.4	1531.0	0
1300	0.771	1296.3	1296.3	1297.0168612192	3.4	1.9	5.5	26.0	4.9	1658.6	0
1400	0.743	1346.5	1346.5	1345.89502018843	24.2	31.3	55.6	68.5	12.1	1722.7	0
1500	0.779	1284.5	1284.5	1283.69704749679	68.9	50.9	120.0	172.1	44.4	1641.9	1
1600	0.758	1320.0	1320.0	1319.26121372032	73.1	40.3	113.6	177.3	65.4	1688.8	0
1700	2.415	414.1	413.7	414.07867494824	90.2	41.1	131.5	355.2	85.2	529.3	1
1800	0.756	1323.1	1323.1	1322.75132275132	123.9	27.4	151.5	397.4	90.5	1693.2	0
1900	2.499	400.1	387.3	400.16006402561	121.9	75.8	197.8	313.6	110.9	495.5	32
2000	2.427	412.0	386.0	412.031314379893	148.6	45.0	193.7	355.2	111.8	493.9	63
