#Input :: Apache_index_1000conn_iot_1/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
100	9.990	100.1	100.1	100.1001001001	0.3	0.0	0.3	0.8	0.0	33.4	0
200.0	4.995	200.2	200.2	200.2002002002	0.3	0.0	0.3	0.9	0.0	66.9	0
300	3.331	300.2	300.2	300.210147102972	0.3	0.0	0.3	1.2	0.0	100.3	0
400.0	2.498	400.3	400.3	400.320256204964	0.3	0.0	0.3	0.7	0.0	133.7	0
500	1.999	500.3	500.3	500.250125062531	0.3	0.0	0.3	0.6	0.0	167.1	0
600.0	1.666	600.2	600.2	600.240096038415	0.3	0.0	0.3	0.7	0.0	200.5	0
700	1.428	700.2	700.2	700.280112044818	0.3	0.0	0.3	0.8	0.0	233.9	0
800.0	1.249	800.6	800.6	800.640512409928	0.3	0.0	0.3	0.7	0.0	267.4	0
900	1.111	900.5	900.5	900.0900090009	0.3	0.0	0.3	6.1	0.2	300.7	0
1000.0	1.000	1000.1	1000.1	1000	0.3	0.0	0.3	0.7	0.0	334.0	0
1000.0	1.000	1000.0	1000.0	1000	0.3	0.0	0.3	0.7	0.0	334.0	0
1100	0.909	1100.1	1100.1	1100.1100110011	0.3	0.0	0.3	4.7	0.5	367.4	0
1200.0	0.833	1200.5	1200.5	1200.48019207683	0.3	0.0	0.3	0.7	0.1	400.9	0
1300	0.769	1300.5	1300.5	1300.39011703511	0.3	0.0	0.3	0.8	0.1	434.4	0
1400.0	0.715	1399.3	1399.3	1398.6013986014	0.3	0.0	0.3	0.9	0.1	467.3	0
1500	0.667	1499.5	1499.5	1499.25037481259	0.3	0.0	0.4	0.9	0.1	500.8	0
1600.0	0.625	1599.9	1599.9	1600	0.3	0.0	0.4	2.2	0.2	534.3	0
1700	0.589	1699.1	1699.1	1697.79286926995	0.3	0.0	0.4	0.8	0.1	567.5	0
1800.0	0.556	1799.4	1799.4	1798.56115107914	0.4	0.0	0.5	6.4	0.8	601.0	0
1900	0.527	1898.5	1898.5	1897.53320683112	0.3	0.0	0.4	1.0	0.1	634.1	0
2000.0	0.501	1997.3	1997.3	1996.00798403194	0.3	0.0	0.4	1.0	0.1	667.1	0
