#Input :: PCML_index_1000conn_0iot_6/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
100	11.037	90.6	90.6	90.6043308870164	13.6	1134.1	1147.5	1980.4	548.5	23.5	838
200	7.038	142.1	142.1	142.08581983518	73.8	1107.0	1245.3	2880.4	730.5	56.3	726
300	6.989	143.1	143.1	143.081985977965	72.7	948.8	950.1	1996.9	407.3	90.4	533
400	5.476	182.6	176.9	182.615047479912	83.7	768.5	773.1	1984.2	481.9	86.5	661
500	5.913	169.1	157.4	169.118890580078	218.1	665.8	671.6	1995.3	538.0	70.6	705
600	3.434	291.2	271.1	291.20559114735	223.8	694.8	732.7	2134.5	600.5	129.2	664
700	3.429	291.6	291.6	291.630212890055	110.6	3.7	914.3	1559.3	457.0	140.4	659
800	2.606	254.3	254.3	383.323499491353	375.6	659.7	891.0	2430.9	570.2	198.2	415
900	2.435	265.6	265.6	410.604249667995	287.6	781.3	903.2	2239.8	595.2	185.3	481
1000	2.322	262.8	262.8	430.81208935611	348.2	563.5	750.2	2247.4	580.3	210.3	398
1200	2.000	340.9	340.9	499.947834981248	399.8	618.6	709.5	2116.6	637.8	275.0	392
1400	1.953	361.3	361.3	512.271676300578	423.9	573.0	586.5	2015.5	599.5	295.4	382
1600	2.040	367.8	367.8	490.782272894447	439.3	615.6	626.2	2001.9	597.9	262.0	468
1800	1.923	377.1	377.1	520.073906485671	569.0	540.5	566.4	2051.9	567.4	244.4	521
2000	1.952	376.9	376.9	511.931775348662	707.1	661.5	719.4	2129.1	661.5	269.7	467
