#Input :: PCML_index_1000conn_0iot_6/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
100	10.001	100.0	100.0	99.9900009999	2.8	5.7	8.5	29.0	3.0	127.9	0
200	5.004	199.8	199.8	199.840127897682	2.9	38.2	41.0	195.9	38.2	255.7	0
300	3.721	268.8	268.8	268.744961031981	4.2	441.8	446.0	747.1	172.6	344.1	1
400	2.878	347.5	347.5	347.463516330785	4.9	710.6	715.5	1245.5	310.0	417.2	68
500	2.543	393.3	393.3	393.236335037357	5.7	647.1	652.9	1052.4	271.2	453.6	107
600	2.668	374.9	374.9	374.812593703148	6.6	670.3	676.9	1019.1	294.9	432.0	108
700	2.771	360.9	360.9	360.880548538434	7.0	618.9	626.0	1354.9	316.3	431.5	73
800	2.292	436.4	436.4	436.30017452007	8.1	555.5	563.6	1048.5	270.1	496.3	121
900	2.295	435.7	435.7	435.729847494553	8.0	565.8	573.8	1194.9	274.9	486.0	139
1000	2.432	411.2	411.2	411.184210526316	9.9	544.9	554.8	1443.1	363.2	474.6	108
1100	2.149	465.4	465.4	465.332712889716	21.0	566.6	587.7	1270.1	332.4	505.8	163
1200	2.141	467.1	467.1	467.071461933676	13.9	594.9	608.8	1363.1	378.6	506.5	165
