#Input :: Mongrel_index_1000conn_iot_1/COLLECT.txt
#Rate[conn/s]	Total time[ms]	Connection rate[conn/s]	Request rate[replies/s]	Reply rate[replies/s]	Resp time[ms]	Transfer time[ms]	Avg conn time[ms]	Max conn time[ms]	Conn time stddev[ms]	IO[KBps]	Errors
100	9.992	100.1	100.1	100.080064051241	4.3	0.0	4.3	52.4	9.3	61.8	0
200	4.997	200.1	200.1	200.120072043226	8.4	0.0	8.4	53.4	13.8	123.5	0
300	3.332	300.1	300.1	300.120048019208	15.5	0.0	15.5	52.8	16.8	185.2	0
400	2.523	396.3	396.3	396.353547364249	30.3	0.0	30.3	61.3	15.2	244.6	0
500	4.998	200.1	200.1	200.080032012805	224.4	0.0	542.3	3046.9	856.0	123.5	0
600	4.674	213.9	213.9	213.949507916132	211.7	0.0	862.6	3062.0	1136.9	132.0	0
700	4.487	222.9	222.9	222.866057499443	191.5	0.0	1135.5	3103.4	1292.7	137.6	0
800	4.366	229.1	229.1	229.042601923958	186.6	0.0	1297.9	3134.2	1350.5	141.4	0
900	10.615	94.2	94.2	94.2063118228921	801.9	0.0	2264.4	10063.2	2980.6	58.1	0
1000.0	9.978	100.2	100.2	100.220485067148	310.6	0.0	1954.9	9053.6	2048.9	61.9	0
1200.0	9.836	101.7	101.7	101.667344448963	742.7	0.0	2285.4	9015.7	2363.5	62.8	0
1400.0	9.704	103.1	103.1	103.050288540808	597.5	0.0	2385.4	9065.8	2254.1	63.6	0
1600.0	9.686	103.2	103.2	103.241792277514	1331.2	0.0	3462.9	9120.3	3026.2	63.7	0
1800.0	9.683	103.3	103.3	103.273778787566	1611.0	0.0	3848.8	9178.6	3301.3	63.7	0
2000.0	9.786	102.2	102.2	102.186797465767	2348.8	0.0	4315.2	9707.7	3463.1	63.1	0
2500.0	13.402	74.6	74.6	74.6157289956723	1619.5	0.0	3134.2	9188.8	2686.7	38.6	181
3000.0	9.347	107.0	107.0	106.986198780357	2664.0	0.0	4635.7	9141.3	2767.2	66.0	0
3500.0	10.345	96.7	96.7	96.6650555824069	2498.4	0.0	5221.6	10181.6	4143.3	49.4	192
4000.0	10.159	98.4	98.4	98.4348853233586	2710.5	0.0	5331.0	9616.2	3263.9	60.6	3
5000.0	19.157	52.2	52.2	52.2002401211046	3019.4	0.0	5475.6	9335.6	3429.8	31.4	29
6000.0	15.994	62.5	59.3	62.5234462923596	4032.1	0.0	6796.0	15884.2	4432.6	36.6	51
7000.0	13.112	76.3	76.3	76.2660158633313	2113.7	0.0	4954.1	9353.8	2953.3	44.6	59
8000.0	13.125	76.2	76.2	76.1904761904762	1296.5	0.0	2195.0	7908.5	1638.5	27.1	471
9000.0	16.656	60.0	60.0	60.0384245917387	4921.1	0.0	10129.6	16580.8	5583.7	36.9	5
10000.0	13.106	76.3	76.3	76.3009308713566	2713.8	0.0	5243.5	9326.4	2816.9	45.7	33
